,locality,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
45,Roeselare,HOUSE,HOUSE,225000.0,3.0,148.0,NOT_DEFINED,0,0.0,0,0.0,1,0.0,188.0,0.0,0,TO_BE_DONE_UP
46,Lichtervelde,HOUSE,HOUSE,225000.0,4.0,195.89453526389536,NOT_DEFINED,0,0.0,1,0.0,1,0.0,190.0,0.0,0,TO_RENOVATE
47,Brugge,APARTMENT,APARTMENT,398000.0,2.0,85.0,HYPER_EQUIPPED,0,0.0,0,0.0,0,0.0,0.0,3.0,0,AS_NEW
48,Brugge,APARTMENT,APARTMENT,335000.0,2.0,99.0,HYPER_EQUIPPED,0,0.0,0,0.0,0,0.0,0.0,3.0,0,AS_NEW
49,Schilde,HOUSE,VILLA,619000.0,4.0,240.0,NOT_DEFINED,0,1.0,0,0.0,1,0.0,1164.0,0.0,0,AS_NEW
50,De Panne,APARTMENT,FLAT_STUDIO,299000.0,0.0,36.0,INSTALLED,0,0.0,1,0.0,0,0.0,0.0,0.0,0,JUST_RENOVATED
51,De Panne,APARTMENT,APARTMENT,395000.0,3.0,106.0,INSTALLED,0,0.0,1,0.0,0,0.0,0.0,0.0,0,AS_NEW
52,De Panne,APARTMENT,APARTMENT,289000.0,2.0,72.0,INSTALLED,0,0.0,1,0.0,0,0.0,0.0,0.0,0,AS_NEW
53,De Panne,APARTMENT,APARTMENT,470000.0,2.0,87.0,INSTALLED,0,0.0,1,0.0,0,0.0,0.0,0.0,0,AS_NEW
54,De Panne,APARTMENT,APARTMENT,649000.0,2.0,100.0,HYPER_EQUIPPED,0,0.0,1,0.0,0,0.0,0.0,0.0,0,JUST_RENOVATED
55,Tisselt,APARTMENT,APARTMENT,185000.0,1.0,99.71322712115598,INSTALLED,0,0.0,1,26.0,1,0.0,0.0,2.0,0,GOOD
56,Sint-Denijs-Westrem,APARTMENT,APARTMENT,415000.0,2.0,89.0,HYPER_EQUIPPED,0,0.0,1,27.0,0,0.0,0.0,4.0,0,UNKNOWN
57,Zwijnaarde,APARTMENT,APARTMENT,420000.0,2.0,103.0,NOT_DEFINED,0,0.0,1,31.0,1,0.0,0.0,0.0,0,UNKNOWN
58,Zwijnaarde,APARTMENT,APARTMENT,435000.0,2.0,103.0,NOT_DEFINED,0,0.0,1,31.0,1,0.0,0.0,0.0,0,UNKNOWN
59,Woluwe-Saint-Pierre,HOUSE,HOUSE,550000.0,3.0,145.0,NOT_INSTALLED,0,0.0,1,16.0,0,0.0,188.0,3.0,0,TO_RENOVATE
60,Ledeberg,HOUSE,HOUSE,569000.0,3.0,160.0,NOT_DEFINED,0,0.0,1,25.0,1,700.0,1052.0,4.0,0,GOOD
61,Beersel,HOUSE,HOUSE,570000.0,6.0,258.0,HYPER_EQUIPPED,0,0.0,1,85.0,1,762.0,1152.0,2.0,0,GOOD
62,Steenokkerzeel,HOUSE,VILLA,575000.0,4.0,250.0,INSTALLED,0,0.0,1,60.0,1,600.0,1097.0,4.0,0,GOOD
63,Halle,HOUSE,HOUSE,590000.0,3.0,175.0,INSTALLED,0,0.0,1,0.0,0,0.0,562.0,4.0,0,GOOD
64,Buizingen,HOUSE,HOUSE,590000.0,3.0,175.0,INSTALLED,0,0.0,1,0.0,0,0.0,562.0,4.0,0,GOOD
65,Laeken,HOUSE,HOUSE,595000.0,4.0,250.0,INSTALLED,0,0.0,1,15.0,1,350.0,459.0,3.0,0,TO_BE_DONE_UP
66,Waterloo,HOUSE,VILLA,595000.0,3.0,215.0,INSTALLED,0,0.0,1,0.0,1,1100.0,1284.0,4.0,0,TO_RENOVATE
67,Grimbergen,HOUSE,MIXED_USE_BUILDING,598000.0,5.0,320.0,INSTALLED,0,0.0,1,25.0,1,78.0,396.0,2.0,0,GOOD
68,Beersel,HOUSE,VILLA,599000.0,3.0,251.0,INSTALLED,0,0.0,1,0.0,0,0.0,1689.0,4.0,0,TO_BE_DONE_UP
69,Vilvoorde,HOUSE,EXCEPTIONAL_PROPERTY,599000.0,3.0,210.0,INSTALLED,0,0.0,1,25.0,0,0.0,195.0,2.0,0,AS_NEW
70,Thimister-Clermont,HOUSE,HOUSE,599000.0,5.0,286.0,INSTALLED,0,0.0,1,0.0,1,1334.0,1334.0,4.0,0,GOOD
71,Brussels City,HOUSE,HOUSE,600000.0,7.0,220.0,SEMI_EQUIPPED,0,0.0,1,24.0,1,37.0,13.0,2.0,0,GOOD
72,Etterbeek,HOUSE,HOUSE,600000.0,5.0,190.0,INSTALLED,0,0.0,1,15.0,1,50.0,120.0,2.0,0,GOOD
73,OETINGEN,HOUSE,HOUSE,620000.0,3.0,250.0,INSTALLED,0,0.0,1,0.0,0,0.0,3275.0,4.0,0,GOOD
74,Anderlecht,HOUSE,HOUSE,645000.0,4.0,320.0,NOT_INSTALLED,0,0.0,1,4.0,0,0.0,320.0,2.0,0,TO_RENOVATE
75,Wezembeek-Oppem,HOUSE,HOUSE,645000.0,3.0,190.0,INSTALLED,0,0.0,1,0.0,1,350.0,709.0,4.0,0,TO_RENOVATE
76,Woluwe-Saint-Pierre,HOUSE,MIXED_USE_BUILDING,649000.0,3.0,200.0,USA_HYPER_EQUIPPED,0,0.0,1,12.0,1,50.0,132.0,2.0,0,GOOD
77,Sint-Andries,HOUSE,HOUSE,649000.0,3.0,155.0,HYPER_EQUIPPED,1,0.0,0,0.0,0,0.0,552.0,4.0,0,JUST_RENOVATED
78,Schaerbeek,HOUSE,HOUSE,650000.0,5.0,320.0,INSTALLED,0,0.0,1,20.0,1,80.0,150.0,2.0,0,AS_NEW
79,Schaerbeek,HOUSE,APARTMENT_BLOCK,650000.0,3.0,320.0,INSTALLED,0,0.0,1,20.0,1,80.0,150.0,2.0,0,AS_NEW
80,Woluwe-Saint-Pierre,HOUSE,HOUSE,675000.0,4.0,155.0,SEMI_EQUIPPED,0,0.0,0,0.0,1,100.0,243.0,3.0,0,GOOD
81,Wavre,HOUSE,VILLA,675000.0,4.0,200.0,USA_HYPER_EQUIPPED,0,0.0,1,60.0,1,650.0,838.0,4.0,0,AS_NEW
82,Woluwe-Saint-Lambert,HOUSE,HOUSE,680000.0,4.0,155.0,USA_HYPER_EQUIPPED,0,0.0,1,7.0,1,312.0,411.0,2.0,0,AS_NEW
83,Wetteren,HOUSE,EXCEPTIONAL_PROPERTY,690000.0,7.0,405.0,INSTALLED,1,0.0,0,0.0,1,4534.0,4534.0,4.0,0,TO_BE_DONE_UP
84,Woluwe-Saint-Pierre,HOUSE,TOWN_HOUSE,695000.0,4.0,188.0,HYPER_EQUIPPED,0,0.0,1,18.0,1,75.0,161.0,2.0,0,GOOD
85,Woluwe-Saint-Lambert,HOUSE,HOUSE,695000.0,4.0,190.0,USA_HYPER_EQUIPPED,0,0.0,1,10.0,1,150.0,270.0,2.0,0,GOOD
86,Beersel,HOUSE,HOUSE,695000.0,5.0,253.0,SEMI_EQUIPPED,0,1.0,0,0.0,0,0.0,1375.0,4.0,0,TO_BE_DONE_UP
87,Gooik,HOUSE,HOUSE,695000.0,4.0,240.0,INSTALLED,0,0.0,1,0.0,0,0.0,1040.0,4.0,0,GOOD
88,Anderlecht,HOUSE,APARTMENT_BLOCK,699000.0,5.0,270.0,INSTALLED,0,0.0,1,0.0,0,0.0,490.0,2.0,0,GOOD
89,Evere,APARTMENT,APARTMENT,325000.0,1.0,76.0,USA_HYPER_EQUIPPED,0,0.0,1,7.0,0,0.0,0.0,4.0,0,UNKNOWN
90,Evere,APARTMENT,APARTMENT,375000.0,2.0,102.0,USA_HYPER_EQUIPPED,0,0.0,1,18.0,0,0.0,0.0,4.0,0,UNKNOWN
91,Brugge,APARTMENT,APARTMENT,273900.0,2.0,99.71322712115598,NOT_DEFINED,0,0.0,1,0.0,0,0.0,0.0,1.0,0,UNKNOWN
92,Edegem,APARTMENT,APARTMENT,215000.0,2.0,94.0,SEMI_EQUIPPED,0,0.0,1,4.0,0,0.0,0.0,3.0,0,TO_BE_DONE_UP
93,Wetteren,HOUSE,HOUSE,323500.0,4.0,195.89453526389536,NOT_DEFINED,0,0.0,0,0.0,0,0.0,160.0,2.0,0,UNKNOWN
94,Zelzate,HOUSE,HOUSE,382900.0,3.0,195.89453526389536,NOT_DEFINED,0,0.0,1,0.0,0,0.0,163.0,2.0,0,UNKNOWN
95,Nivelles,APARTMENT,PENTHOUSE,298000.0,2.0,100.0,INSTALLED,0,0.0,1,26.0,0,0.0,0.0,3.0,0,GOOD
96,Namur,APARTMENT,FLAT_STUDIO,85000.0,0.0,22.0,SEMI_EQUIPPED,0,0.0,0,0.0,0,0.0,0.0,1.0,0,UNKNOWN
97,Grimbergen,HOUSE,VILLA,1800000.0,5.0,392.0,INSTALLED,0,1.0,1,40.0,1,12440.0,13890.0,4.0,0,TO_BE_DONE_UP
98,HERMEE,HOUSE,HOUSE,225000.0,3.0,134.0,NOT_DEFINED,0,0.0,1,24.0,1,0.0,253.0,2.0,0,TO_BE_DONE_UP
99,Kapelle-op-den-Bos,APARTMENT,APARTMENT,355000.0,2.0,84.0,INSTALLED,0,0.0,1,6.0,0,0.0,0.0,2.0,0,GOOD
100,Goesnes,HOUSE,HOUSE,565000.0,5.0,388.0,INSTALLED,0,1.0,0,0.0,1,0.0,23000.0,4.0,0,GOOD
101,Froidmont,HOUSE,HOUSE,259000.0,4.0,195.89453526389536,NOT_DEFINED,0,0.0,0,0.0,0,0.0,810.0,2.0,0,UNKNOWN
102,Moorslede,HOUSE,HOUSE,375000.0,5.0,250.0,INSTALLED,0,0.0,1,0.0,0,0.0,630.0,4.0,0,GOOD
103,De Panne,APARTMENT,APARTMENT,199000.0,1.0,60.0,INSTALLED,1,0.0,0,0.0,0,0.0,0.0,2.0,0,JUST_RENOVATED
104,Londerzeel,HOUSE,HOUSE,485000.0,4.0,311.0,INSTALLED,0,0.0,0,0.0,1,0.0,634.0,4.0,0,GOOD
105,Gent,HOUSE,HOUSE,319000.0,4.0,120.0,NOT_DEFINED,0,0.0,0,0.0,0,0.0,51.0,2.0,0,UNKNOWN
106,Gent,HOUSE,HOUSE,619000.0,4.0,161.0,NOT_DEFINED,0,0.0,0,0.0,1,71.0,176.0,3.0,0,AS_NEW
107,Gent,HOUSE,HOUSE,429000.0,3.0,130.0,NOT_DEFINED,0,0.0,0,0.0,1,30.0,75.0,2.0,0,AS_NEW
108,Heule,HOUSE,HOUSE,184000.0,4.0,160.0,INSTALLED,0,0.0,0,0.0,1,0.0,804.0,3.0,0,TO_RENOVATE
109,Ledegem,HOUSE,HOUSE,189000.0,4.0,195.89453526389536,INSTALLED,0,0.0,0,0.0,1,0.0,318.0,2.0,0,GOOD
110,Sint-Truiden,APARTMENT,APARTMENT,343000.0,2.0,91.0,INSTALLED,0,0.0,0,0.0,1,24.0,0.0,2.0,0,AS_NEW
111,Sint-Truiden,APARTMENT,APARTMENT,219000.0,1.0,57.0,INSTALLED,0,0.0,0,0.0,1,14.0,0.0,2.0,0,AS_NEW
112,Tongeren,HOUSE,HOUSE,350000.0,3.0,185.0,NOT_DEFINED,0,0.0,1,41.0,1,101.0,264.0,0.0,0,UNKNOWN
113,Tongeren,HOUSE,HOUSE,352500.0,3.0,186.0,NOT_DEFINED,0,0.0,1,41.0,1,108.0,263.0,0.0,0,UNKNOWN
114,Tongeren,HOUSE,HOUSE,355000.0,3.0,187.0,NOT_DEFINED,0,0.0,1,41.0,1,108.0,263.0,0.0,0,UNKNOWN
115,Tongeren,HOUSE,HOUSE,355000.0,3.0,187.0,NOT_DEFINED,0,0.0,1,41.0,1,111.0,263.0,0.0,0,UNKNOWN
116,Tongeren,HOUSE,HOUSE,357500.0,3.0,185.0,NOT_DEFINED,0,0.0,1,41.0,1,113.0,263.0,0.0,0,UNKNOWN
117,Tongeren,HOUSE,HOUSE,360000.0,3.0,186.0,NOT_DEFINED,0,0.0,1,44.0,1,116.0,445.0,0.0,0,UNKNOWN
118,Gouy-lez-Piéton,HOUSE,HOUSE,115000.0,1.0,117.0,INSTALLED,1,0.0,1,10.0,1,100.0,240.0,2.0,0,TO_RENOVATE
119,Pont-à-Celles,HOUSE,HOUSE,115000.0,1.0,117.0,INSTALLED,1,0.0,1,10.0,1,100.0,240.0,2.0,0,TO_RENOVATE
120,Grivegnée,HOUSE,HOUSE,175000.0,4.0,152.0,NOT_INSTALLED,0,0.0,0,0.0,0,0.0,70.0,2.0,0,TO_BE_DONE_UP
121,Gent,HOUSE,HOUSE,235000.0,1.0,54.0,INSTALLED,0,0.0,0,0.0,1,260.0,902.0,2.0,0,GOOD
122,Erpe-Mere,HOUSE,HOUSE,270000.0,3.0,147.0,NOT_DEFINED,0,0.0,1,0.0,0,0.0,570.0,3.0,0,TO_RENOVATE
123,Athus,HOUSE,HOUSE,320000.0,4.0,139.0,SEMI_EQUIPPED,0,0.0,1,30.0,1,0.0,1210.0,3.0,0,TO_RESTORE
124,Nivelles,HOUSE,HOUSE,325000.0,3.0,146.0,SEMI_EQUIPPED,0,0.0,1,37.0,1,200.0,340.0,4.0,0,TO_BE_DONE_UP
125,VICHTE,HOUSE,APARTMENT_BLOCK,362500.0,4.0,345.0,INSTALLED,0,0.0,0,0.0,1,0.0,237.0,2.0,0,TO_BE_DONE_UP
126,VICHTE,HOUSE,MIXED_USE_BUILDING,362500.0,4.0,345.0,INSTALLED,0,0.0,0,0.0,1,0.0,237.0,2.0,0,TO_BE_DONE_UP
127,Neder-over-Heembeek,HOUSE,HOUSE,375000.0,3.0,110.0,USA_INSTALLED,0,0.0,1,20.0,0,0.0,92.0,3.0,0,GOOD
128,Bruxelles,HOUSE,HOUSE,698000.0,3.0,200.0,USA_HYPER_EQUIPPED,0,0.0,1,0.0,1,500.0,600.0,4.0,0,AS_NEW
129,Liège Angleur,HOUSE,HOUSE,169000.0,2.0,70.0,INSTALLED,0,0.0,1,10.0,1,50.0,114.0,2.0,0,AS_NEW
130,Waremme,HOUSE,HOUSE,300000.0,3.0,120.0,NOT_DEFINED,0,0.0,1,20.0,1,500.0,771.0,3.0,0,GOOD
131,Braine-l'Alleud,HOUSE,MIXED_USE_BUILDING,345000.0,3.0,291.0,USA_INSTALLED,0,0.0,1,9.0,1,10.0,140.0,2.0,0,GOOD
132,Huizingen,HOUSE,HOUSE,379000.0,3.0,118.0,INSTALLED,0,0.0,1,0.0,0,0.0,251.0,3.0,0,GOOD
133,Oudenaarde,HOUSE,HOUSE,430000.0,5.0,212.0,HYPER_EQUIPPED,0,0.0,1,0.0,1,138.0,233.0,2.0,0,AS_NEW
134,Bruxelles,HOUSE,VILLA,650000.0,4.0,270.0,SEMI_EQUIPPED,0,0.0,1,32.0,1,300.0,713.0,4.0,0,TO_RENOVATE
135,Faimes,HOUSE,HOUSE,315000.0,4.0,205.0,NOT_INSTALLED,0,1.0,0,0.0,1,610.0,760.0,4.0,0,GOOD
136,Sombreffe,HOUSE,HOUSE,590000.0,4.0,476.0,USA_INSTALLED,0,0.0,1,50.0,1,1700.0,2868.0,4.0,0,AS_NEW
137,AMPSIN,HOUSE,HOUSE,449500.0,4.0,230.0,INSTALLED,0,0.0,1,0.0,1,0.0,1086.0,4.0,0,AS_NEW
138,Gent Zwijnaarde,HOUSE,VILLA,799000.0,5.0,341.0,INSTALLED,0,0.0,1,0.0,0,0.0,1249.0,4.0,1,TO_BE_DONE_UP
139,Trooz,HOUSE,HOUSE,79000.0,3.0,125.0,NOT_INSTALLED,0,0.0,0,0.0,0,0.0,64.0,2.0,0,TO_RENOVATE
140,FLÉMALLE-HAUTE,HOUSE,HOUSE,269000.0,3.0,130.0,SEMI_EQUIPPED,0,0.0,1,20.0,1,227.0,335.0,3.0,0,GOOD
141,Gent,HOUSE,HOUSE,285000.0,3.0,110.0,SEMI_EQUIPPED,0,0.0,0,0.0,1,4.0,54.0,2.0,0,TO_RESTORE
142,Hoogstraten,HOUSE,VILLA,495000.0,3.0,179.0,NOT_DEFINED,0,0.0,0,0.0,1,415.0,775.0,4.0,0,GOOD
143,Schoten,HOUSE,VILLA,735000.0,3.0,260.0,INSTALLED,0,0.0,1,0.0,1,1250.0,1492.0,4.0,0,GOOD
144,Woluwe-Saint-Pierre,HOUSE,HOUSE,1040000.0,5.0,250.0,HYPER_EQUIPPED,0,0.0,1,12.0,0,0.0,325.0,3.0,0,AS_NEW
145,Kluisbergen,HOUSE,VILLA,239000.0,4.0,130.0,SEMI_EQUIPPED,0,0.0,1,40.0,1,0.0,842.0,4.0,0,TO_RENOVATE
146,Saint-Nicolas,HOUSE,HOUSE,250000.0,5.0,176.0,SEMI_EQUIPPED,0,0.0,0,0.0,0,0.0,140.0,2.0,0,TO_RENOVATE
147,Bonheiden,HOUSE,HOUSE,259000.0,4.0,116.0,SEMI_EQUIPPED,0,0.0,1,0.0,1,0.0,210.0,3.0,0,TO_BE_DONE_UP
148,Hasselt,HOUSE,EXCEPTIONAL_PROPERTY,524900.0,3.0,281.0,INSTALLED,0,0.0,1,0.0,0,0.0,220.0,3.0,0,UNKNOWN
149,Hasselt,HOUSE,EXCEPTIONAL_PROPERTY,699000.0,2.0,407.0,INSTALLED,0,0.0,1,0.0,0,0.0,215.0,0.0,0,UNKNOWN
150,Genk,HOUSE,HOUSE,285000.0,3.0,170.0,INSTALLED,0,0.0,1,0.0,0,0.0,20060.0,0.0,0,UNKNOWN
151,Putte,HOUSE,HOUSE,365000.0,3.0,232.0,INSTALLED,0,0.0,1,0.0,0,0.0,935.0,0.0,0,TO_RENOVATE
152,Putte,HOUSE,HOUSE,625000.0,3.0,203.0,HYPER_EQUIPPED,0,0.0,0,0.0,1,0.0,496.0,0.0,0,UNKNOWN
153,Heist-op-den-Berg,APARTMENT,APARTMENT,348000.0,3.0,151.0,INSTALLED,0,0.0,1,0.0,1,0.0,0.0,0.0,0,UNKNOWN
154,Vurste,HOUSE,HOUSE,445000.0,5.0,185.0,NOT_DEFINED,0,0.0,0,0.0,1,0.0,235.0,2.0,0,UNKNOWN
155,Vurste,HOUSE,HOUSE,375000.0,5.0,185.0,NOT_DEFINED,0,0.0,1,0.0,0,0.0,235.0,2.0,0,UNKNOWN
156,Oostkamp,HOUSE,HOUSE,439000.0,3.0,396.0,NOT_DEFINED,0,0.0,0,0.0,0,0.0,2982.0,0.0,0,TO_RENOVATE
157,Leuven,APARTMENT,DUPLEX,190000.0,1.0,28.0,INSTALLED,1,0.0,0,0.0,0,0.0,0.0,0.0,0,UNKNOWN
158,Oostende,APARTMENT,PENTHOUSE,229900.0,1.0,75.0,INSTALLED,0,0.0,1,30.0,0,0.0,0.0,0.0,0,JUST_RENOVATED
159,Sint-Amandsberg,HOUSE,HOUSE,378000.0,4.0,234.0,NOT_DEFINED,0,0.0,1,0.0,0,0.0,204.0,0.0,0,TO_RENOVATE
160,Hombeek,HOUSE,HOUSE,369000.0,3.0,140.0,INSTALLED,0,0.0,1,24.0,1,0.0,0.0,0.0,0,AS_NEW
161,Gent,HOUSE,HOUSE,635000.0,4.0,239.0,NOT_DEFINED,0,0.0,0,0.0,1,0.0,168.0,0.0,0,UNKNOWN
162,Deurne,HOUSE,HOUSE,299900.0,3.0,180.0,SEMI_EQUIPPED,0,0.0,1,20.0,1,60.0,160.0,0.0,0,TO_RENOVATE
163,Kortrijk,HOUSE,HOUSE,279000.0,4.0,170.0,INSTALLED,0,0.0,1,0.0,0,0.0,200.0,2.0,0,AS_NEW
164,Evergem,HOUSE,HOUSE,340000.0,3.0,170.0,INSTALLED,0,0.0,0,0.0,1,0.0,374.0,0.0,0,UNKNOWN
165,Clabecq,HOUSE,HOUSE,225000.0,3.0,94.0,NOT_INSTALLED,0,0.0,0,0.0,1,0.0,711.0,0.0,0,TO_RENOVATE
166,Lier,APARTMENT,APARTMENT,275000.0,2.0,107.0,NOT_DEFINED,0,0.0,1,12.0,0,0.0,0.0,0.0,0,AS_NEW
167,Waterloo,HOUSE,HOUSE,1475000.0,5.0,360.0,HYPER_EQUIPPED,0,0.0,1,0.0,1,1000.0,1375.0,0.0,0,AS_NEW
168,Lasne,HOUSE,VILLA,995000.0,6.0,300.0,NOT_INSTALLED,0,0.0,0,0.0,0,0.0,14631.0,4.0,0,TO_RESTORE
169,Zwevezele,HOUSE,HOUSE,299000.0,3.0,182.0,INSTALLED,0,0.0,1,0.0,1,0.0,534.0,0.0,0,TO_BE_DONE_UP
